,name,glacier_id,year,surging
59,Penckbreen,G015616E77394N,2021,1
60,Penckbreen,G015616E77394N,2022,1
61,Penckbreen,G015616E77394N,2023,1
62,Scheelebreen,G016964E77694N,2021,1
63,Vallakrabreen,G017158E77876N,2023,1
64,Liestolbreen,G016915E77433N,2023,1
65,Svalisbreen,G016777E76955N,2019,1
66,Svalisbreen,G016777E76955N,2020,1
67,Svalisbreen,G016777E76955N,2021,1
68,Svalisbreen,G016777E76955N,2022,1
69,Svalisbreen,G016777E76955N,2023,1
70,Midtbreen,G016346E79525N,2023,1
71,Vallakrabreen,G017158E77876N,2019,0
72,Bakaninbreen,G017525E77773N,2019,0
73,Bakaninbreen,G017525E77773N,2020,0
74,Bakaninbreen,G017525E77773N,2021,0
75,Bakaninbreen,G017525E77773N,2022,0
76,Bakaninbreen,G017525E77773N,2023,0
77,Andrebreen,G011158E79339N,2019,0
78,Mayerbreen,G012572E79241N,2019,0
79,Mayerbreen,G012572E79241N,2021,0
80,Mayerbreen,G012572E79241N,2020,0
81,Mayerbreen,G012572E79241N,2022,0
82,Kollerbreen,G012352E79323N,2019,0
83,Kollerbreen,G012352E79323N,2020,0
84,Kollerbreen,G012352E79323N,2021,0
85,Kollerbreen,G012352E79323N,2022,0
86,Kollerbreen,G012352E79323N,2023,0
87,Elnabreen,G014132E79125N,2019,0
88,Elnabreen,G014132E79125N,2020,0
89,Elnabreen,G014132E79125N,2023,0
90,Sjettebreen,G011294E79478N,2019,0
91,Karlsbreen,G013347E79296N,2019,0
92,Karlsbreen,G013347E79296N,2020,0
93,Karlsbreen,G013347E79296N,2021,0
94,FjortendeJulibreen,G012363E79148N,2019,0
95,Holmstrombreen,G013749E78857N,2019,0
96,Lisbetbreen,G014909E79069N,2019,0
97,Lisbetbreen,G014909E79069N,2020,0
98,Lisbetbreen,G014909E79069N,2022,0
99,Lisbetbreen,G014909E79069N,2023,0
100,VonPostbreen,G017824E78480N,2019,0
101,VonPostbreen,G017824E78480N,2021,0
102,VestreTorrellbreen,G015026E77342N,2019,0
103,Steenstrupbreen,G016290E77607N,2022,0
104,Inglefieldbreen,G017911E77804N,2020,0
105,Andrinebreen,G018010E77975N,2019,0
106,Jinnbreen,G017562E78141N,2020,0
107,Hinlopenbreen,G018391E78924N,2019,0
108,Hinlopenbreen,G018391E78924N,2021,0
109,Hinlopenbreen,G018391E78924N,2022,0
110,Oslobreen,G018173E79037N,2019,0
111,Oslobreen,G018173E79037N,2020,0
112,Oslobreen,G018173E79037N,2021,0
113,Tryggvebreen,G016733E79123N,2019,0
114,Marsjobreen,G022215E77928N,2019,0
115,Marsjobreen,G022215E77928N,2020,0
116,Marsjobreen,G022215E77928N,2022,0
117,Kvitisen,G021454E78071N,2019,0
118,Kvitisen,G021454E78071N,2020,0
119,Kvitisen,G021454E78071N,2023,0
120,Duckwitzbreen,G021120E78374N,2020,0
121,Duckwitzbreen,G021120E78374N,2021,0
122,Duckwitzbreen,G021120E78374N,2022,0
123,Duckwitzbreen,G021120E78374N,2023,0
124,Freemanbreen,G021590E78354N,2019,0
125,Freemanbreen,G021590E78354N,2021,0
126,Freemanbreen,G021590E78354N,2022,0
127,VegafonnaMariebreen,G021009E79425N,2019,0
128,VegafonnaMariebreen,G021009E79425N,2020,0
129,VegafonnaMariebreen,G021009E79425N,2021,0
130,VegafonnaMariebreen,G021009E79425N,2022,0
131,Usherbreen,G018580E78256N,2021,0
132,Usherbreen,G018580E78256N,2022,0
133,Nordmannsfonna,G018296E78282N,2019,0
134,Hockstatterbreen,G019758E78902N,2021,0
135,Hockstatterbreen,G019758E78902N,2023,0
136,Tommelbreen,G018473E79506N,2021,0
137,Svitdjodbreen,G011686E79700N,2021,0
138,Svitdjodbreen,G011686E79700N,2022,0
139,Svitdjodbreen,G011686E79700N,2023,0
140,Kuhrbreen,G021849E77617N,2022,0
141,Vitkovskibreen,G016292E76781N,2021,0
142,Vitkovskibreen,G016292E76781N,2023,0
143,Slakbreen,G016584E77967N,2019,0
144,Slakbreen,G016584E77967N,2020,0
145,Slakbreen,G016584E77967N,2021,0
146,Slakbreen,G016584E77967N,2023,0
147,Dunerbreen,G016909E79728N,2019,0
148,Dunerbreen,G016909E79728N,2020,0
149,Dunerbreen,G016909E79728N,2021,0
150,Dunerbreen,G016909E79728N,2022,0
151,Dunerbreen,G016909E79728N,2023,0
152,Morabreen,G014184E78936N,2021,0
153,Morabreen,G014184E78936N,2022,0
154,Morabreen,G014184E78936N,2023,0
155,Forstebreen,G011244E79295N,2019,0
156,Forstebreen,G011244E79295N,2021,0
157,Forstebreen,G011244E79295N,2022,0
158,Forstebreen,G011244E79295N,2023,0
159,Waggonwaybreen,G011437E79514N,2022,0
160,Waggonwaybreen,G011437E79514N,2023,0
161,Smerenburgbreen,G011600E79552N,2020,0
162,Smerenburgbreen,G011600E79552N,2021,0
163,Smerenburgbreen,G011600E79552N,2022,0
164,Smerenburgbreen,G011600E79552N,2023,0
165,Chauveaubreen,G011912E79647N,2020,0
166,Raudfjordbreen,G012020E79575N,2020,0
167,Raudfjordbreen,G012020E79575N,2021,0
